,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-08-02 19:00:00,0.0,96.0,96.0,6.136935,97522.12,0.0,17.208954,2.0503988,2.6334782,4.4382267,5.507839,57.830076574205876,0.0,57.830076574205876
2021-08-02 20:00:00,0.0,100.0,100.0,5.677494,97452.016,0.0,16.517426,1.846281,2.1705227,4.1371565,5.267565,1.6554177597214668,0.0,1.6554177597214668
2021-08-02 21:00:00,0.0,80.0,80.0,5.3416495,97516.484,0.0,15.641052,1.7090216,1.6787567,3.9453955,5.036129,0.0,0.0,0.0
2021-08-02 22:00:00,0.0,98.0,98.0,5.934398,97494.836,0.0,14.89035,1.8950701,2.5028172,3.8831482,5.3865795,0.0,0.0,0.0
2021-08-02 23:00:00,0.0,100.0,100.0,6.549202,97502.42,0.0,14.199158,2.586237,3.264145,4.079568,5.6821384,0.0,0.0,0.0
2021-08-03 00:00:00,1.0,100.0,100.0,6.8178096,97479.69,0.0,13.757721,2.9193916,3.9698734,3.7693424,5.457258,0.0,0.0,0.0
2021-08-03 01:00:00,1.0,100.0,100.0,7.0335717,97463.31,0.0,12.8316345,3.402876,4.367096,3.8118248,5.4760017,0.0,0.0,0.0
2021-08-03 02:00:00,2.0,100.0,100.0,7.3204412,97502.4,0.0,12.771393,3.481903,4.4607487,3.9826565,5.714508,0.0,0.0,0.0
2021-08-03 03:00:00,1.0,100.0,100.0,7.245288,97467.16,0.0,13.087311,3.211278,4.178892,4.048971,5.87039,0.0,0.0,0.0
2021-08-03 04:00:00,2.0,100.0,100.0,7.3948994,97474.3,0.0,12.449066,3.3000946,4.342016,4.093334,5.9957867,0.0,0.0,0.0
2021-08-03 05:00:00,3.0,100.0,100.0,7.5605354,97447.69,0.0,11.892944,3.2778301,4.3328,4.2570515,6.1739826,0.0,0.0,0.0
2021-08-03 06:00:00,6.0,20.0,20.0,7.46678,97470.25,0.0,11.215454,3.060318,4.003742,4.249729,6.31402,0.0,0.0,0.0
2021-08-03 07:00:00,11.0,11.0,2.0,7.2291517,97496.516,0.0,11.420837,3.1459122,4.0721436,4.039057,5.9132233,55.646164998116454,77.00219629402645,45.390162695962076
2021-08-03 08:00:00,12.0,12.0,0.0,6.5702,97521.63,0.0,12.231384,3.3093367,3.9668236,3.8056126,5.1491394,233.159664776845,402.8046955950556,100.48679050891246
2021-08-03 09:00:00,6.0,6.0,0.0,5.829096,97543.32,0.0,13.590942,3.154049,3.7749577,3.424323,4.442297,439.23934935955793,614.2722353911743,122.5226667364019
2021-08-03 10:00:00,4.0,4.0,0.0,5.3219333,97546.125,0.0,15.549194,2.9615002,3.497778,3.410015,4.033125,624.0537235041871,683.0186625058919,160.1747882858694
2021-08-03 11:00:00,2.0,2.0,0.0,4.858734,97547.45,0.0,17.702118,2.8348198,3.165598,3.1557693,3.7365875,777.3953722859313,714.2196143729597,199.6612416433087
