T_B,T_S,prices,loads,iter,sequence
"[310, 310, 310, 310]","[310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310]","[6.36, 6.34, 6.34, 6.37, 6.41, 6.46, 6.95, 41.51]","[0.16, 0.16, 0.16, 0.16, 0.16, 0.16, 0.16, 0.16]",0,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[311.7, 311.6, 311.5, 311.4]","[310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0]","[6.34, 6.34, 6.37, 6.41, 6.46, 6.95, 41.51, 41.16]","[0.16, 0.16, 0.16, 0.16, 0.16, 0.16, 0.16, 0.15]",1,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[320.9, 319.9, 318.6, 317.3]","[310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0]","[6.34, 6.37, 6.41, 6.46, 6.95, 41.51, 41.16, 41.07]","[0.16, 0.16, 0.16, 0.16, 0.16, 0.16, 0.15, 0.14]",2,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[332.6, 331.5, 330.3, 329.2]","[313.4, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0]","[6.37, 6.41, 6.46, 6.95, 41.51, 41.16, 41.07, 41.06]","[0.16, 0.16, 0.16, 0.16, 0.16, 0.15, 0.14, 0.14]",3,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[332.3, 327.8, 328.8, 329.2]","[314.7, 315.4, 318.1, 322.2, 322.9, 318.7, 314.6, 311.9, 310.6, 310.1, 310.0, 310.0]","[6.41, 6.46, 6.95, 41.51, 41.16, 41.07, 41.06, 41.08]","[0.16, 0.16, 0.16, 0.16, 0.15, 0.14, 0.14, 0.13]",4,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[330.0, 333.4, 333.4, 333.4]","[316.3, 316.3, 318.3, 320.5, 320.1, 319.1, 318.8, 319.9, 320.2, 318.6, 315.9, 313.3]","[6.46, 6.95, 41.51, 41.16, 41.07, 41.06, 41.08, 7.16]","[0.16, 0.16, 0.16, 0.15, 0.14, 0.14, 0.13, 0.13]",5,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[333.8, 334.2, 335.0, 335.8]","[332.6, 329.4, 325.1, 321.4, 319.0, 317.8, 317.8, 318.4, 319.1, 319.4, 319.5, 319.4]","[6.95, 41.51, 41.16, 41.07, 41.06, 41.08, 7.16, 7.18]","[0.16, 0.16, 0.15, 0.14, 0.14, 0.13, 0.13, 0.13]",6,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1]]"
"[335.9, 335.9, 335.9, 335.8]","[332.6, 329.4, 325.1, 321.4, 319.0, 317.8, 317.8, 318.4, 319.1, 319.4, 319.5, 319.4]","[41.51, 41.16, 41.07, 41.06, 41.08, 7.16, 7.18, 7.18]","[0.16, 0.15, 0.14, 0.14, 0.13, 0.13, 0.13, 0.13]",7,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[335.9, 335.9, 335.9, 335.8]","[319.3, 318.7, 318.7, 318.9, 319.2, 319.3, 318.9, 318.0, 316.2, 313.9, 311.5, 309.4]","[41.16, 41.07, 41.06, 41.08, 7.16, 7.18, 7.18, 7.16]","[0.15, 0.14, 0.14, 0.13, 0.13, 0.13, 0.13, 0.13]",8,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[335.9, 335.9, 335.9, 334.7]","[318.7, 318.2, 317.3, 315.9, 314.2, 312.4, 310.7, 309.4, 308.6, 308.2, 308.0, 308.0]","[41.07, 41.06, 41.08, 7.16, 7.18, 7.18, 7.16, 41.2]","[0.14, 0.14, 0.13, 0.13, 0.13, 0.13, 0.13, 0.14]",9,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
