T_B,T_S,prices,loads,iter,sequence
"[314.0, 314.6, 313.7, 308.8]","[310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310]","[6.36, 6.34, 6.34, 6.37, 6.41, 6.46, 6.95, 41.51]","[0.05, 0.04, 0.04, 0.05, 0.05, 0.04, 0.04, 0.03]",0,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[324.2, 322.7, 321.9, 322.1]","[313.2, 310.5, 310.1, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0]","[6.34, 6.34, 6.37, 6.41, 6.46, 6.95, 41.51, 41.16]","[0.04, 0.04, 0.05, 0.05, 0.04, 0.04, 0.03, 0.02]",1,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[323.0, 321.6, 319.2, 314.3]","[312.2, 310.4, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 309.7]","[6.34, 6.37, 6.41, 6.46, 6.95, 41.51, 41.16, 41.07]","[0.04, 0.05, 0.05, 0.04, 0.04, 0.03, 0.02, 0.01]",2,"[[0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[321.3, 318.7, 314.8, 310.5]","[311.6, 310.3, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 309.8, 309.1]","[6.37, 6.41, 6.46, 6.95, 41.51, 41.16, 41.07, 41.06]","[0.05, 0.05, 0.04, 0.04, 0.03, 0.02, 0.01, 0.01]",3,"[[0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[316.9, 313.5, 310.5, 308.0]","[311.4, 310.2, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 309.9, 309.6, 308.2]","[6.41, 6.46, 6.95, 41.51, 41.16, 41.07, 41.06, 41.08]","[0.05, 0.04, 0.04, 0.03, 0.02, 0.01, 0.01, 0.0]",4,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 1, 0]]"
"[314.9, 314.6, 314.2, 314.0]","[314.9, 314.6, 314.4, 314.2, 313.9, 313.5, 312.9, 312.2, 311.6, 311.0, 310.5, 310.2]","[6.46, 6.95, 41.51, 41.16, 41.07, 41.06, 41.08, 7.16]","[0.04, 0.04, 0.03, 0.02, 0.01, 0.01, 0.0, 0.0]",5,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 1, 0], [1, 1, 1]]"
"[317.7, 317.4, 317.1, 316.7]","[317.8, 317.5, 317.2, 316.9, 316.5, 316.0, 315.6, 315.2, 314.8, 314.5, 314.1, 313.8]","[6.95, 41.51, 41.16, 41.07, 41.06, 41.08, 7.16, 7.18]","[0.04, 0.03, 0.02, 0.01, 0.01, 0.0, 0.0, 0.0]",6,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 1, 0], [1, 1, 1], [1, 1, 1]]"
"[323.1, 321.9, 321.3, 320.9]","[321.4, 320.3, 319.5, 318.9, 318.5, 318.1, 317.8, 317.5, 317.2, 316.8, 316.5, 316.1]","[41.51, 41.16, 41.07, 41.06, 41.08, 7.16, 7.18, 7.18]","[0.03, 0.02, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0]",7,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 1, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[322.5, 321.4, 320.0, 316.4]","[321.0, 320.0, 319.3, 318.8, 318.4, 318.0, 317.7, 317.4, 317.1, 316.7, 316.1, 314.5]","[41.16, 41.07, 41.06, 41.08, 7.16, 7.18, 7.18, 7.16]","[0.02, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0]",8,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 1, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[322.0, 320.7, 318.6, 314.6]","[320.8, 319.8, 319.2, 318.7, 318.3, 317.9, 317.6, 317.3, 316.9, 316.5, 315.6, 313.6]","[41.07, 41.06, 41.08, 7.16, 7.18, 7.18, 7.16, 41.2]","[0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9,"[[0, 0, 0], [0, 0, 0], [0, 1, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 1, 0]]"
