T_B,T_S,prices,loads,iter,sequence
"[314.0, 314.6, 313.7, 308.8]","[310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310]","[6.36, 6.34, 6.34, 6.37, 6.41, 6.46, 6.95, 41.51]","[0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.1, 0.1]",0,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[313.2, 313.2, 313.1, 313.1]","[313.2, 313.2, 313.1, 313.0, 312.7, 312.2, 311.5, 310.9, 310.4, 310.2, 310.0, 310.0]","[6.34, 6.34, 6.37, 6.41, 6.46, 6.95, 41.51, 41.16]","[0.11, 0.11, 0.11, 0.11, 0.11, 0.1, 0.1, 0.08]",1,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[314.6, 314.3, 314.1, 313.9]","[314.4, 314.1, 313.8, 313.6, 313.5, 313.3, 313.2, 313.1, 312.9, 312.6, 312.2, 311.7]","[6.34, 6.37, 6.41, 6.46, 6.95, 41.51, 41.16, 41.07]","[0.11, 0.11, 0.11, 0.11, 0.1, 0.1, 0.08, 0.08]",2,"[[0, 1, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[311.4, 312.0, 312.5, 312.9]","[310.8, 310.5, 310.6, 310.8, 311.1, 311.1, 311.1, 310.9, 310.6, 310.3, 309.9, 309.5]","[6.37, 6.41, 6.46, 6.95, 41.51, 41.16, 41.07, 41.06]","[0.11, 0.11, 0.11, 0.1, 0.1, 0.08, 0.08, 0.08]",3,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[319.4, 322.0, 320.1, 317.2]","[310.8, 310.5, 310.6, 310.8, 311.1, 311.1, 311.1, 310.9, 310.6, 310.3, 309.9, 309.5]","[6.41, 6.46, 6.95, 41.51, 41.16, 41.07, 41.06, 41.08]","[0.11, 0.11, 0.1, 0.1, 0.08, 0.08, 0.08, 0.08]",4,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[326.3, 326.0, 325.1, 325.3]","[314.0, 321.2, 315.3, 311.9, 310.9, 310.9, 311.0, 311.1, 311.0, 310.8, 310.6, 310.3]","[6.46, 6.95, 41.51, 41.16, 41.07, 41.06, 41.08, 7.16]","[0.11, 0.1, 0.1, 0.08, 0.08, 0.08, 0.08, 0.08]",5,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1]]"
"[332.2, 331.4, 331.0, 330.5]","[314.0, 321.2, 315.3, 311.9, 310.9, 310.9, 311.0, 311.1, 311.0, 310.8, 310.6, 310.3]","[6.95, 41.51, 41.16, 41.07, 41.06, 41.08, 7.16, 7.18]","[0.1, 0.1, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07]",6,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1]]"
"[337.4, 337.4, 336.6, 335.7]","[314.9, 315.9, 319.7, 314.4, 311.7, 310.9, 310.9, 311.0, 311.0, 311.0, 310.8, 310.5]","[41.51, 41.16, 41.07, 41.06, 41.08, 7.16, 7.18, 7.18]","[0.1, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07]",7,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[337.3, 336.9, 334.6, 326.3]","[315.0, 313.6, 312.0, 311.2, 311.0, 310.9, 310.7, 310.2, 309.5, 308.7, 308.2, 308.0]","[41.16, 41.07, 41.06, 41.08, 7.16, 7.18, 7.18, 7.16]","[0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07]",8,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[336.7, 334.5, 328.7, 318.1]","[312.5, 311.6, 311.1, 310.8, 310.5, 310.1, 309.5, 308.9, 308.4, 308.1, 308.0, 308.0]","[41.07, 41.06, 41.08, 7.16, 7.18, 7.18, 7.16, 41.2]","[0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07]",9,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[333.9, 329.0, 321.0, 312.5]","[311.3, 310.9, 310.5, 310.1, 309.6, 309.1, 308.6, 308.3, 308.1, 308.0, 308.0, 308.0]","[41.06, 41.08, 7.16, 7.18, 7.18, 7.16, 41.2, 41.64]","[0.08, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07, 0.07]",10,"[[0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[327.8, 321.1, 314.2, 309.6]","[310.7, 310.2, 309.8, 309.4, 308.9, 308.5, 308.3, 308.1, 308.0, 308.0, 308.0, 308.0]","[41.08, 7.16, 7.18, 7.18, 7.16, 41.2, 41.64, 41.43]","[0.08, 0.08, 0.07, 0.07, 0.07, 0.07, 0.07, 0.09]",11,"[[0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[316.1, 311.9, 309.6, 308.0]","[310.4, 310.0, 309.6, 309.1, 308.7, 308.4, 308.2, 308.1, 308.0, 308.0, 308.0, 308.0]","[7.16, 7.18, 7.18, 7.16, 41.2, 41.64, 41.43, 41.51]","[0.08, 0.07, 0.07, 0.07, 0.07, 0.07, 0.09, 0.09]",12,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[312.1, 311.9, 311.9, 312.1]","[312.4, 312.1, 312.0, 311.9, 311.8, 311.7, 311.4, 311.1, 310.8, 310.4, 310.0, 309.6]","[7.18, 7.18, 7.16, 41.2, 41.64, 41.43, 41.51, 6.84]","[0.07, 0.07, 0.07, 0.07, 0.07, 0.09, 0.09, 0.1]",13,"[[0, 1, 0], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1]]"
