T_B,T_S,prices,iter,sequence
"[314.0, 314.6, 313.7, 308.8]","[310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310]","[6.36, 6.34, 6.34, 6.37, 6.41, 6.46, 6.95, 41.51]",0,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[312.8, 312.8, 312.8, 312.9]","[312.8, 312.8, 312.7, 312.5, 312.1, 311.5, 310.9, 310.4, 310.2, 310.1, 310.0, 310.0]","[6.34, 6.34, 6.37, 6.41, 6.46, 6.95, 41.51, 41.16]",15,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[313.3, 313.2, 313.1, 313.1]","[313.3, 313.2, 313.1, 313.1, 313.0, 312.9, 312.8, 312.6, 312.4, 312.1, 311.7, 311.3]","[6.34, 6.37, 6.41, 6.46, 6.95, 41.51, 41.16, 41.07]",30,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[322.0, 321.4, 320.3, 318.4]","[313.3, 313.2, 313.1, 313.1, 313.0, 312.9, 312.8, 312.6, 312.4, 312.1, 311.7, 311.3]","[6.37, 6.41, 6.46, 6.95, 41.51, 41.16, 41.07, 41.06]",45,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[333.7, 332.5, 331.5, 330.0]","[313.3, 313.2, 313.1, 313.1, 313.0, 312.9, 312.8, 312.6, 312.4, 312.1, 311.7, 311.3]","[6.41, 6.46, 6.95, 41.51, 41.16, 41.07, 41.06, 41.08]",60,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[335.0, 332.0, 333.3, 334.5]","[323.7, 316.8, 317.7, 321.5, 320.9, 317.1, 314.5, 313.4, 313.1, 313.0, 312.9, 312.7]","[6.46, 6.95, 41.51, 41.16, 41.07, 41.06, 41.08, 7.16]",75,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 0, 1]]"
"[338.0, 337.7, 337.1, 336.9]","[320.8, 320.5, 318.5, 318.1, 320.5, 320.4, 317.5, 314.9, 313.6, 313.1, 313.0, 312.9]","[6.95, 41.51, 41.16, 41.07, 41.06, 41.08, 7.16, 7.18]",90,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1]]"
"[336.6, 337.5, 336.3, 335.0]","[317.9, 316.2, 315.8, 316.6, 318.5, 320.1, 320.3, 319.9, 319.2, 319.3, 319.2, 318.1]","[41.51, 41.16, 41.07, 41.06, 41.08, 7.16, 7.18, 7.18]",105,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[336.8, 336.9, 334.7, 327.0]","[318.2, 319.0, 319.5, 319.5, 319.2, 318.3, 316.7, 314.3, 311.7, 309.5, 308.4, 308.1]","[41.16, 41.07, 41.06, 41.08, 7.16, 7.18, 7.18, 7.16]",120,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[336.8, 336.7, 333.9, 325.3]","[318.3, 317.3, 315.9, 314.1, 312.2, 310.5, 309.3, 308.6, 308.3, 308.2, 308.2, 308.2]","[41.07, 41.06, 41.08, 7.16, 7.18, 7.18, 7.16, 41.2]",135,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
