T_OA;Q_HP;COP;Q_HP/COP
-25;9,25;2,08;4,45
-20;10,63;2,26;4,70
-15;12,00;2,45;4,90
-10;14,00;3,12;4,49
-5;14,00;3,3;4,24
0;14,00;3,39;4,13
5;14,00;3,65;3,84
10;14,00;4,83;2,90
15;14,00;5,12;2,73
-25;9,00;1,8;5,00
-20;10,50;2,05;5,12
-15;12,00;2,3;5,22
-10;14,00;2,95;4,75
-5;14,00;3,1;4,52
0;14,00;3,2;4,38
5;14,00;3,4;4,12
10;14,00;4,5;3,11
15;14,00;4,77;2,94
-25;8,75;1,53;
-20;14154,00;1,84;
-15;12,00;2,15;
-10;14,00;2,79;
-5;40,00;2,9;
0;40,00;3,01;
5;40,00;3,21;
10;40,00;4,17;
15;40,00;4,42;
-25;45,00;1,25;
-20;45,00;1,63;
-15;45,00;2;
-10;45,00;2,63;
-5;45,00;2,7;
0;45,00;2,82;
5;45,00;3,02;
10;45,00;3,83;
15;45,00;4,06;
-25;50,00;1;
-20;50,00;1,41;
-15;50,00;1,85;
-10;50,00;2,46;
-5;50,00;2,5;
0;50,00;2,63;
5;50,00;2,83;
10;50,00;3,5;
15;50,00;3,71;
-25;55,00;1;
-20;55,00;1;
-15;55,00;1,7;
-10;55,00;2,3;
-5;55,00;2,3;
0;55,00;2,43;
5;55,00;2,63;
10;55,00;2,78;
15;55,00;3,36;
-25;60,00;1;
-20;60,00;1;
-15;60,00;1;
-10;60,00;2,14;
-5;60,00;2,1;
0;60,00;2,24;
5;60,00;2,44;
10;60,00;2,5;
15;60,00;3;
-25;65,00;1;
-20;65,00;1;
-15;65,00;1;
-10;65,00;1;
-5;65,00;1,95;
0;65,00;2,05;
5;65,00;2,25;
10;65,00;2,5;
15;65,00;2,65;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
