T_B,T_S,prices,iter,sequence
"[314.0, 314.6, 313.7, 308.8]","[310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310]","[14.64, 18.93, 45.56, 26.42]",0,"[[1, 1, 1], [1, 1, 1], [0, 1, 0], [0, 1, 0]]"
"[316.1, 316.2, 316.4, 316.6]","[316.6, 316.8, 315.9, 314.2, 312.4, 311.1, 310.3, 310.1, 310.0, 310.0, 310.0, 310.0]","[18.93, 45.56, 26.42, 18.0]",15,"[[1, 0, 1], [0, 1, 0], [0, 1, 0], [0, 1, 0]]"
"[316.1, 316.2, 316.4, 316.6]","[320.7, 319.7, 320.5, 319.4, 318.1, 316.9, 316.1, 315.6, 315.4, 315.3, 315.4, 315.6]","[45.56, 26.42, 18.0, 17.17]",30,"[[0, 0, 0], [0, 1, 0], [1, 0, 1], [0, 1, 0]]"
"[316.1, 315.9, 314.5, 311.2]","[319.0, 318.2, 317.3, 316.4, 315.9, 315.4, 315.0, 314.2, 312.8, 311.0, 309.4, 308.3]","[26.42, 18.0, 17.17, 16.19]",45,"[[0, 1, 0], [1, 0, 1], [0, 1, 0], [0, 1, 0]]"
"[313.2, 314.5, 315.4, 316.1]","[311.0, 309.6, 308.6, 308.1, 308.3, 309.1, 310.5, 313.0, 312.9, 313.3, 313.2, 309.5]","[18.0, 17.17, 16.19, 30.74]",60,"[[1, 0, 1], [0, 1, 0], [1, 1, 1], [0, 1, 0]]"
"[313.2, 314.5, 315.4, 315.8]","[313.0, 311.6, 311.1, 311.0, 311.1, 311.5, 312.5, 314.1, 315.8, 316.6, 315.7, 313.6]","[17.17, 16.19, 30.74, 31.17]",75,"[[1, 0, 1], [1, 0, 1], [0, 1, 0], [0, 1, 0]]"
"[313.4, 314.6, 315.4, 314.5]","[314.8, 313.6, 312.9, 312.7, 312.8, 313.4, 314.2, 315.2, 316.1, 316.4, 316.0, 314.9]","[16.19, 30.74, 31.17, 16.18]",90,"[[1, 0, 1], [0, 1, 0], [0, 1, 0], [0, 1, 0]]"
"[314.0, 314.8, 314.4, 312.1]","[321.9, 316.4, 315.9, 317.2, 318.1, 318.3, 318.7, 319.3, 320.1, 320.6, 320.1, 318.9]","[30.74, 31.17, 16.18, 17.11]",105,"[[0, 1, 0], [0, 1, 0], [1, 0, 1], [0, 1, 0]]"
"[318.7, 319.2, 318.7, 318.1]","[316.0, 313.9, 312.6, 312.1, 312.3, 312.7, 313.0, 313.2, 313.3, 313.2, 312.9, 312.5]","[31.17, 16.18, 17.11, 20.24]",120,"[[0, 1, 0], [1, 1, 1], [0, 1, 0], [0, 0, 0]]"
"[313.0, 314.0, 315.9, 317.6]","[312.9, 312.9, 312.5, 311.8, 310.7, 309.6, 308.7, 308.2, 308.0, 308.0, 308.0, 314.4]","[16.18, 17.11, 20.24, 24.94]",135,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
