T_B,T_S,prices,iter,sequence
"[314.0, 314.6, 313.7, 308.8]","[308.8, 307.5, 306.7, 306.1, 305.8, 305.6, 305.4, 304.9, 304.0, 302.7, 301.3, 300.3]","[14.64, 14.64, 18.93, 18.93]",0,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[316.3, 315.1, 313.8, 313.0]","[308.8, 307.5, 306.7, 306.1, 305.8, 305.6, 305.4, 304.9, 304.0, 302.7, 301.3, 300.3]","[14.64, 18.93, 18.93, 45.56]",15,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[319.5, 318.4, 317.2, 316.4]","[308.8, 307.5, 306.7, 306.1, 305.8, 305.6, 305.4, 304.9, 304.0, 302.7, 301.3, 300.3]","[18.93, 18.93, 45.56, 45.56]",30,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[322.7, 321.8, 320.6, 319.7]","[308.8, 307.5, 306.7, 306.1, 305.8, 305.6, 305.4, 304.9, 304.0, 302.7, 301.3, 300.3]","[18.93, 45.56, 45.56, 26.42]",45,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[323.0, 321.3, 320.4, 320.4]","[308.8, 307.5, 306.7, 306.1, 305.8, 305.6, 305.4, 304.9, 304.0, 302.7, 301.3, 300.3]","[45.56, 45.56, 26.42, 26.42]",60,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[323.0, 321.2, 320.4, 320.4]","[308.8, 307.5, 306.7, 306.1, 305.8, 305.6, 305.4, 304.9, 304.0, 302.7, 301.3, 300.3]","[45.56, 26.42, 26.42, 18.0]",75,"[[0, 0, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[321.8, 320.1, 317.0, 309.6]","[306.6, 306.1, 305.7, 305.3, 304.9, 304.2, 303.3, 302.2, 301.2, 300.5, 300.1, 299.9]","[26.42, 26.42, 18.0, 18.0]",90,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[320.6, 319.1, 317.8, 317.5]","[306.6, 306.1, 305.7, 305.3, 304.9, 304.2, 303.3, 302.2, 301.2, 300.5, 300.1, 299.9]","[26.42, 18.0, 18.0, 17.17]",105,"[[0, 0, 0], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[317.7, 314.7, 310.3, 307.3]","[305.8, 305.4, 304.9, 304.3, 303.5, 302.6, 301.7, 300.9, 300.3, 300.0, 299.9, 299.9]","[18.0, 18.0, 17.17, 17.17]",120,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[318.1, 317.2, 316.1, 315.2]","[305.8, 305.4, 304.9, 304.3, 303.5, 302.6, 301.7, 300.9, 300.3, 300.0, 299.9, 299.9]","[18.0, 17.17, 17.17, 16.19]",135,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[315.0, 315.3, 315.5, 315.7]","[305.8, 305.4, 304.9, 304.3, 303.5, 302.6, 301.7, 300.9, 300.3, 300.0, 299.9, 299.9]","[17.17, 17.17, 16.19, 16.19]",150,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[318.3, 317.2, 315.9, 315.1]","[305.8, 305.4, 304.9, 304.3, 303.5, 302.6, 301.7, 300.9, 300.3, 300.0, 299.9, 299.9]","[17.17, 16.19, 16.19, 30.74]",165,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[315.0, 315.3, 315.5, 315.7]","[305.8, 305.4, 304.9, 304.3, 303.5, 302.6, 301.7, 300.9, 300.3, 300.0, 299.9, 299.9]","[16.19, 16.19, 30.74, 30.74]",180,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[318.3, 317.2, 315.9, 315.1]","[305.8, 305.4, 304.9, 304.3, 303.5, 302.6, 301.7, 300.9, 300.3, 300.0, 299.9, 299.9]","[16.19, 30.74, 30.74, 31.17]",195,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[321.5, 320.4, 319.1, 318.3]","[305.8, 305.4, 304.9, 304.3, 303.5, 302.6, 301.7, 300.9, 300.3, 300.0, 299.9, 299.9]","[30.74, 30.74, 31.17, 31.17]",210,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
