T_B,T_S,prices,iter,sequence
"[314.0, 314.6, 313.7, 308.8]","[310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310]","[14.64, 14.64, 18.93, 18.93]",0,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 1, 0]]"
"[314.1, 314.0, 314.1, 312.2]","[311.1, 311.6, 311.9, 311.8, 311.2, 310.6, 310.2, 310.1, 310.0, 310.0, 310.0, 310.0]","[14.64, 18.93, 18.93, 45.56]",15,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 1, 0]]"
"[318.9, 318.0, 317.1, 316.1]","[311.4, 311.5, 311.7, 311.8, 311.5, 311.0, 310.5, 310.2, 310.1, 310.0, 310.0, 310.0]","[18.93, 18.93, 45.56, 45.56]",30,"[[1, 1, 1], [1, 1, 1], [0, 1, 0], [0, 1, 0]]"
"[320.3, 319.9, 319.5, 319.0]","[316.2, 312.9, 311.8, 311.7, 311.7, 311.5, 311.1, 310.7, 310.4, 310.2, 310.1, 310.0]","[18.93, 45.56, 45.56, 26.42]",45,"[[1, 1, 1], [0, 1, 0], [0, 1, 0], [1, 1, 1]]"
"[316.4, 318.3, 319.3, 319.3]","[315.7, 314.1, 313.2, 312.9, 312.9, 312.7, 312.3, 311.9, 311.6, 311.3, 311.0, 310.7]","[45.56, 45.56, 26.42, 26.42]",60,"[[0, 1, 0], [0, 1, 0], [1, 1, 1], [1, 1, 1]]"
"[313.1, 314.2, 315.5, 316.9]","[312.3, 312.0, 311.7, 311.6, 311.6, 311.7, 311.6, 311.0, 309.9, 308.8, 308.2, 308.0]","[45.56, 26.42, 26.42, 18.0]",75,"[[0, 1, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[311.3, 311.8, 312.3, 313.0]","[310.7, 310.1, 309.5, 308.9, 308.5, 308.2, 308.1, 308.0, 308.0, 308.0, 308.1, 308.0]","[26.42, 26.42, 18.0, 18.0]",90,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[311.0, 311.1, 311.2, 311.3]","[310.7, 310.1, 309.5, 308.9, 308.5, 308.2, 308.1, 308.0, 308.0, 308.0, 308.1, 308.0]","[26.42, 18.0, 18.0, 17.17]",105,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[311.0, 311.0, 311.0, 311.0]","[310.7, 310.1, 309.5, 308.9, 308.5, 308.2, 308.1, 308.0, 308.0, 308.0, 308.1, 308.0]","[18.0, 18.0, 17.17, 17.17]",120,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[311.0, 311.0, 311.0, 311.0]","[310.7, 310.1, 309.5, 308.9, 308.5, 308.2, 308.1, 308.0, 308.0, 308.0, 308.1, 308.0]","[18.0, 17.17, 17.17, 16.19]",135,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[311.0, 311.0, 311.0, 311.0]","[310.7, 310.1, 309.5, 308.9, 308.5, 308.2, 308.1, 308.0, 308.0, 308.0, 308.1, 308.0]","[17.17, 17.17, 16.19, 16.19]",150,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[311.0, 311.0, 311.0, 311.0]","[310.7, 310.1, 309.5, 308.9, 308.5, 308.2, 308.1, 308.0, 308.0, 308.0, 308.1, 308.0]","[17.17, 16.19, 16.19, 30.74]",165,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[313.3, 311.7, 311.1, 311.0]","[310.7, 310.1, 309.5, 308.9, 308.5, 308.2, 308.1, 308.0, 308.0, 308.0, 308.1, 308.0]","[16.19, 16.19, 30.74, 30.74]",180,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[317.7, 316.7, 315.8, 314.9]","[310.7, 310.1, 309.5, 308.9, 308.5, 308.2, 308.1, 308.0, 308.0, 308.0, 308.1, 308.0]","[16.19, 30.74, 30.74, 31.17]",195,"[[1, 1, 1], [1, 1, 1], [0, 1, 0], [1, 1, 1]]"
"[316.8, 317.2, 317.3, 317.0]","[315.7, 313.8, 311.7, 310.3, 309.4, 308.8, 308.5, 308.2, 308.1, 308.0, 308.0, 308.0]","[30.74, 30.74, 31.17, 31.17]",210,"[[1, 1, 1], [0, 1, 0], [1, 1, 1], [1, 1, 1]]"
"[312.2, 314.2, 315.8, 316.7]","[311.9, 313.4, 314.2, 313.9, 312.7, 311.4, 310.3, 309.4, 308.9, 308.5, 308.3, 308.1]","[30.74, 31.17, 31.17, 16.18]",225,"[[0, 1, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[311.9, 312.7, 313.1, 313.6]","[310.6, 309.8, 309.2, 308.7, 308.4, 308.2, 308.1, 308.0, 308.0, 308.0, 308.0, 308.0]","[31.17, 31.17, 16.18, 16.18]",240,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[311.2, 311.4, 311.7, 312.0]","[310.6, 309.8, 309.2, 308.7, 308.4, 308.2, 308.1, 308.0, 308.0, 308.0, 308.0, 308.0]","[31.17, 16.18, 16.18, 17.11]",255,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[311.0, 311.0, 311.0, 311.1]","[310.6, 309.8, 309.2, 308.7, 308.4, 308.2, 308.1, 308.0, 308.0, 308.0, 308.0, 308.0]","[16.18, 16.18, 17.11, 17.11]",270,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
