T_B,T_S,prices,loads,iter,sequence
"[314, 314.6, 313.7, 308.8]","[310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310]","[6.36, 6.34, 6.34, 6.37, 6.41, 6.46, 6.95, 41.51]","[0.16, 0.16, 0.16, 0.16, 0.16, 0.16, 0.16, 0.16]",0,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[320.8, 321.1, 320.9, 320.6]","[315.5, 317.0, 314.1, 311.2, 310.2, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0]","[6.34, 6.34, 6.37, 6.41, 6.46, 6.95, 41.51, 41.16]","[0.16, 0.16, 0.16, 0.16, 0.16, 0.16, 0.16, 0.15]",1,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[325.3, 326.3, 326.2, 325.3]","[318.8, 314.8, 313.3, 312.3, 312.7, 314.0, 314.9, 314.5, 313.2, 311.6, 310.6, 310.1]","[6.34, 6.37, 6.41, 6.46, 6.95, 41.51, 41.16, 41.07]","[0.16, 0.16, 0.16, 0.16, 0.16, 0.16, 0.15, 0.14]",2,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[328.9, 329.9, 331.2, 332.3]","[317.1, 320.5, 324.0, 319.5, 315.9, 313.8, 313.1, 313.3, 313.9, 314.2, 313.8, 312.8]","[6.37, 6.41, 6.46, 6.95, 41.51, 41.16, 41.07, 41.06]","[0.16, 0.16, 0.16, 0.16, 0.16, 0.15, 0.14, 0.14]",3,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[334.6, 334.4, 332.5, 330.2]","[323.2, 318.3, 316.3, 316.7, 318.1, 318.5, 318.7, 319.2, 319.8, 320.3, 319.9, 318.5]","[6.41, 6.46, 6.95, 41.51, 41.16, 41.07, 41.06, 41.08]","[0.16, 0.16, 0.16, 0.16, 0.15, 0.14, 0.14, 0.13]",4,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[328.1, 330.0, 331.1, 331.5]","[328.6, 330.2, 330.3, 329.1, 326.7, 323.8, 321.1, 319.2, 318.3, 318.1, 318.4, 318.8]","[6.46, 6.95, 41.51, 41.16, 41.07, 41.06, 41.08, 7.16]","[0.16, 0.16, 0.16, 0.15, 0.14, 0.14, 0.13, 0.13]",5,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[334.4, 335.0, 333.7, 331.0]","[330.8, 327.6, 323.5, 320.5, 319.5, 319.4, 320.4, 322.5, 325.4, 327.8, 328.8, 328.1]","[6.95, 41.51, 41.16, 41.07, 41.06, 41.08, 7.16, 7.18]","[0.16, 0.16, 0.15, 0.14, 0.14, 0.13, 0.13, 0.13]",6,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[334.7, 334.6, 334.5, 334.4]","[330.8, 327.6, 323.5, 320.5, 319.5, 319.4, 320.4, 322.5, 325.4, 327.8, 328.8, 328.1]","[41.51, 41.16, 41.07, 41.06, 41.08, 7.16, 7.18, 7.18]","[0.16, 0.15, 0.14, 0.14, 0.13, 0.13, 0.13, 0.13]",7,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[327.1, 324.2, 321.5, 319.0]","[327.3, 324.0, 321.3, 319.9, 319.9, 320.9, 322.8, 325.1, 327.1, 327.8, 326.0, 321.4]","[41.16, 41.07, 41.06, 41.08, 7.16, 7.18, 7.18, 7.16]","[0.15, 0.14, 0.14, 0.13, 0.13, 0.13, 0.13, 0.13]",8,"[[0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[324.4, 321.6, 318.8, 315.2]","[321.3, 321.7, 322.8, 324.2, 325.1, 325.1, 323.8, 321.3, 318.1, 315.0, 312.5, 311.0]","[41.07, 41.06, 41.08, 7.16, 7.18, 7.18, 7.16, 41.2]","[0.14, 0.14, 0.13, 0.13, 0.13, 0.13, 0.13, 0.14]",9,"[[0, 0, 0], [1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
