T_B,T_S,prices,loads,iter,sequence
"[314.0, 314.6, 313.7, 308.8]","[310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310]","[6.36, 6.34, 6.34, 6.37, 6.41, 6.46, 6.95, 41.51]","[0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.1, 0.1]",0,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[313.2, 313.2, 313.1, 313.1]","[313.2, 313.2, 313.1, 313.0, 312.7, 312.2, 311.5, 310.9, 310.4, 310.2, 310.0, 310.0]","[6.34, 6.34, 6.37, 6.41, 6.46, 6.95, 41.51, 41.16]","[0.11, 0.11, 0.11, 0.11, 0.11, 0.1, 0.1, 0.08]",1,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[314.6, 314.3, 314.1, 313.9]","[314.4, 314.1, 313.8, 313.6, 313.5, 313.3, 313.2, 313.1, 312.9, 312.6, 312.2, 311.7]","[6.34, 6.37, 6.41, 6.46, 6.95, 41.51, 41.16, 41.07]","[0.11, 0.11, 0.11, 0.11, 0.1, 0.1, 0.08, 0.08]",2,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[316.3, 316.1, 315.9, 315.7]","[316.2, 315.8, 315.5, 315.1, 314.8, 314.4, 314.1, 313.9, 313.7, 313.5, 313.3, 313.1]","[6.37, 6.41, 6.46, 6.95, 41.51, 41.16, 41.07, 41.06]","[0.11, 0.11, 0.11, 0.1, 0.1, 0.08, 0.08, 0.08]",3,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[317.3, 317.0, 316.8, 316.6]","[317.2, 316.9, 316.7, 316.5, 316.4, 316.2, 316.0, 315.7, 315.4, 315.1, 314.8, 314.5]","[6.41, 6.46, 6.95, 41.51, 41.16, 41.07, 41.06, 41.08]","[0.11, 0.11, 0.1, 0.1, 0.08, 0.08, 0.08, 0.08]",4,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[321.2, 320.9, 320.6, 320.3]","[319.3, 318.0, 317.3, 316.9, 316.7, 316.5, 316.3, 316.1, 315.8, 315.6, 315.3, 314.9]","[6.46, 6.95, 41.51, 41.16, 41.07, 41.06, 41.08, 7.16]","[0.11, 0.1, 0.1, 0.08, 0.08, 0.08, 0.08, 0.08]",5,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1]]"
"[323.7, 323.4, 323.1, 322.9]","[322.2, 320.6, 319.1, 318.1, 317.3, 316.9, 316.6, 316.4, 316.2, 316.0, 315.7, 315.4]","[6.95, 41.51, 41.16, 41.07, 41.06, 41.08, 7.16, 7.18]","[0.1, 0.1, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07]",6,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1]]"
"[325.3, 326.2, 325.4, 324.6]","[318.5, 318.5, 319.2, 321.1, 322.7, 321.2, 319.8, 318.6, 317.7, 317.2, 316.8, 316.5]","[41.51, 41.16, 41.07, 41.06, 41.08, 7.16, 7.18, 7.18]","[0.1, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07]",7,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[325.5, 325.9, 324.5, 320.2]","[320.4, 320.9, 320.8, 320.0, 319.0, 318.0, 317.0, 315.8, 314.1, 312.0, 310.2, 309.5]","[41.16, 41.07, 41.06, 41.08, 7.16, 7.18, 7.18, 7.16]","[0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07]",8,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[325.6, 325.4, 323.0, 317.5]","[320.2, 319.6, 318.7, 317.6, 316.4, 315.1, 313.5, 312.0, 310.7, 310.1, 309.9, 309.9]","[41.07, 41.06, 41.08, 7.16, 7.18, 7.18, 7.16, 41.2]","[0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07]",9,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[325.3, 324.2, 320.7, 314.7]","[318.4, 317.3, 316.1, 314.7, 313.4, 312.1, 311.0, 310.3, 310.0, 309.7, 309.5, 309.2]","[41.06, 41.08, 7.16, 7.18, 7.18, 7.16, 41.2, 41.64]","[0.08, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07, 0.07]",10,"[[0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[323.6, 320.6, 315.9, 311.2]","[316.4, 315.1, 313.8, 312.6, 311.5, 310.7, 310.2, 309.8, 309.5, 309.3, 309.0, 308.8]","[41.08, 7.16, 7.18, 7.18, 7.16, 41.2, 41.64, 41.43]","[0.08, 0.08, 0.07, 0.07, 0.07, 0.07, 0.07, 0.09]",11,"[[0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[316.7, 313.1, 310.2, 308.0]","[315.5, 314.2, 313.0, 311.9, 311.0, 310.4, 309.9, 309.6, 309.4, 309.1, 308.9, 308.6]","[7.16, 7.18, 7.18, 7.16, 41.2, 41.64, 41.43, 41.51]","[0.08, 0.07, 0.07, 0.07, 0.07, 0.07, 0.09, 0.09]",12,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[314.5, 314.2, 314.0, 313.7]","[314.5, 314.1, 313.8, 313.3, 313.0, 312.8, 312.9, 313.0, 312.9, 312.5, 311.9, 311.2]","[7.18, 7.18, 7.16, 41.2, 41.64, 41.43, 41.51, 6.84]","[0.07, 0.07, 0.07, 0.07, 0.07, 0.09, 0.09, 0.1]",13,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1]]"
