T_B,T_S,prices,loads,iter,sequence
"[314, 314.6, 313.7, 308.8]","[310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310]","[6.36, 6.34, 6.34, 6.37, 6.41, 6.46, 6.95, 41.51]","[0.127, 0.124, 0.122, 0.124, 0.123, 0.13, 0.136, 0.136]",0,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[320.7, 324.5, 322.6, 318.8]","[310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0]","[6.34, 6.34, 6.37, 6.41, 6.46, 6.95, 41.51, 41.16]","[0.124, 0.122, 0.124, 0.123, 0.13, 0.136, 0.136, 0.129]",1,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[319.7, 320.8, 321.2, 321.4]","[318.7, 320.0, 320.7, 320.5, 319.4, 317.4, 315.0, 312.9, 311.3, 310.5, 310.1, 310.0]","[6.34, 6.37, 6.41, 6.46, 6.95, 41.51, 41.16, 41.07]","[0.122, 0.124, 0.123, 0.13, 0.136, 0.136, 0.129, 0.124]",2,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[330.8, 329.3, 327.0, 325.8]","[320.7, 315.6, 313.8, 312.7, 312.3, 313.0, 315.2, 318.1, 320.0, 320.2, 319.5, 318.1]","[6.37, 6.41, 6.46, 6.95, 41.51, 41.16, 41.07, 41.06]","[0.124, 0.123, 0.13, 0.136, 0.136, 0.129, 0.124, 0.109]",3,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[327.2, 327.8, 328.3, 328.7]","[328.0, 328.5, 327.4, 324.9, 321.6, 318.3, 315.7, 314.2, 313.7, 314.3, 315.6, 317.1]","[6.41, 6.46, 6.95, 41.51, 41.16, 41.07, 41.06, 41.08]","[0.123, 0.13, 0.136, 0.136, 0.129, 0.124, 0.109, 0.109]",4,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[336.9, 334.5, 333.0, 332.9]","[321.0, 318.4, 316.8, 316.0, 316.1, 317.4, 320.0, 323.4, 326.4, 326.9, 325.1, 322.4]","[6.46, 6.95, 41.51, 41.16, 41.07, 41.06, 41.08, 7.16]","[0.13, 0.136, 0.136, 0.129, 0.124, 0.109, 0.109, 0.106]",5,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[327.1, 329.0, 330.0, 330.8]","[324.9, 328.3, 329.3, 329.3, 328.4, 326.4, 323.8, 321.2, 319.2, 318.0, 317.9, 318.7]","[6.95, 41.51, 41.16, 41.07, 41.06, 41.08, 7.16, 7.18]","[0.136, 0.136, 0.129, 0.124, 0.109, 0.109, 0.106, 0.106]",6,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[329.6, 330.7, 330.6, 329.3]","[329.3, 328.1, 326.2, 324.0, 322.0, 320.6, 320.1, 320.8, 322.7, 325.2, 327.4, 328.4]","[41.51, 41.16, 41.07, 41.06, 41.08, 7.16, 7.18, 7.18]","[0.136, 0.129, 0.124, 0.109, 0.109, 0.106, 0.106, 0.106]",7,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[328.6, 326.1, 322.3, 318.5]","[325.4, 323.7, 322.2, 321.3, 321.2, 322.0, 323.4, 324.7, 325.0, 323.5, 320.8, 317.8]","[41.16, 41.07, 41.06, 41.08, 7.16, 7.18, 7.18, 7.16]","[0.129, 0.124, 0.109, 0.109, 0.106, 0.106, 0.106, 0.106]",8,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[328.4, 325.8, 322.0, 318.1]","[322.2, 322.6, 323.1, 323.4, 323.1, 321.9, 320.0, 317.7, 315.4, 313.4, 312.0, 311.3]","[41.07, 41.06, 41.08, 7.16, 7.18, 7.18, 7.16, 41.2]","[0.124, 0.109, 0.109, 0.106, 0.106, 0.106, 0.106, 0.109]",9,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
