T_B,T_S,prices,iter,sequence
"[314.0, 314.6, 313.7, 308.8]","[310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310, 310]","[14.64, 18.93, 45.56, 26.42]",0,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [1, 1, 1]]"
"[323.2, 322.2, 321.3, 320.4]","[310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0]","[18.93, 45.56, 26.42, 18.0]",30,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [1, 1, 1]]"
"[332.2, 331.2, 330.3, 329.4]","[310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0, 310.0]","[45.56, 26.42, 18.0, 17.17]",60,"[[0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[322.3, 316.9, 311.9, 308.9]","[310.0, 310.0, 310.0, 310.0, 309.9, 309.8, 309.6, 309.3, 308.8, 308.3, 308.1, 308.0]","[26.42, 18.0, 17.17, 16.19]",90,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[311.7, 312.0, 312.2, 312.5]","[310.7, 310.3, 310.1, 310.0, 310.0, 309.9, 309.8, 309.6, 309.3, 308.9, 308.5, 308.2]","[18.0, 17.17, 16.19, 30.74]",120,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[311.0, 311.0, 311.0, 311.0]","[310.7, 310.3, 310.1, 310.0, 310.0, 309.9, 309.8, 309.6, 309.3, 308.9, 308.5, 308.2]","[17.17, 16.19, 30.74, 31.17]",150,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [1, 1, 1]]"
"[321.4, 320.5, 319.5, 318.6]","[310.7, 310.3, 310.1, 310.0, 310.0, 309.9, 309.8, 309.6, 309.3, 308.9, 308.5, 308.2]","[16.19, 30.74, 31.17, 16.18]",180,"[[1, 1, 1], [1, 0, 1], [0, 1, 0], [1, 1, 1]]"
"[317.3, 319.5, 320.0, 319.5]","[314.7, 314.2, 313.7, 313.5, 313.4, 313.3, 313.2, 312.9, 312.4, 311.8, 311.2, 310.7]","[30.74, 31.17, 16.18, 17.11]",210,"[[1, 1, 1], [0, 1, 0], [1, 1, 1], [1, 1, 1]]"
"[316.1, 318.0, 318.9, 319.4]","[312.4, 312.2, 312.0, 311.8, 311.8, 311.9, 312.3, 312.7, 313.2, 313.5, 313.6, 313.6]","[31.17, 16.18, 17.11, 20.24]",240,"[[0, 1, 0], [1, 1, 1], [1, 0, 1], [1, 1, 1]]"
"[311.7, 312.3, 312.7, 313.1]","[310.6, 309.8, 309.1, 308.6, 308.2, 308.1, 308.0, 308.0, 308.0, 308.0, 308.1, 308.0]","[16.18, 17.11, 20.24, 24.94]",270,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
