T_B,T_S,prices,loads,iter,sequence
"[308, 308, 308, 308]","[308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308, 308]","[6.36, 6.34, 6.34, 6.37, 6.41, 6.46, 6.95, 41.51]","[0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.1, 0.1]",0,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[311.1, 311.0, 311.0, 311.0]","[311.1, 311.0, 310.8, 310.3, 309.6, 308.9, 308.4, 308.1, 308.0, 308.0, 308.0, 308.0]","[6.34, 6.34, 6.37, 6.41, 6.46, 6.95, 41.51, 41.16]","[0.11, 0.11, 0.11, 0.11, 0.11, 0.1, 0.1, 0.08]",1,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[311.9, 311.7, 311.5, 311.3]","[311.9, 311.6, 311.4, 311.3, 311.2, 311.1, 311.0, 310.8, 310.5, 310.2, 309.7, 309.2]","[-15, 6.37, 6.41, 6.46, 6.95, 41.51, 41.16, 41.07]","[0.11, 0.11, 0.11, 0.11, 0.1, 0.1, 0.08, 0.08]",2,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[318.1, 317.3, 316.4, 315.4]","[318.1, 317.5, 317.0, 316.6, 316.1, 315.5, 314.7, 313.8, 312.9, 312.1, 311.6, 311.3]","[6.37, 6.41, 6.46, 6.95, 41.51, 41.16, 41.07, 41.06]","[0.11, 0.11, 0.11, 0.1, 0.1, 0.08, 0.08, 0.08]",3,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[317.5, 317.2, 316.9, 316.7]","[317.4, 317.0, 316.7, 316.6, 316.7, 316.8, 316.9, 316.8, 316.6, 316.2, 315.6, 314.9]","[6.41, 6.46, 6.95, 41.51, 41.16, 41.07, 41.06, 41.08]","[0.11, 0.11, 0.1, 0.1, 0.08, 0.08, 0.08, 0.08]",4,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[320.3, 320.0, 319.7, 319.4]","[319.7, 318.9, 318.2, 317.7, 317.3, 317.0, 316.8, 316.8, 316.8, 316.8, 316.7, 316.5]","[6.46, 6.95, 41.51, 41.16, 41.07, 41.06, 41.08, 7.16]","[0.11, 0.1, 0.1, 0.08, 0.08, 0.08, 0.08, 0.08]",5,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1]]"
"[322.7, 322.5, 322.3, 322.1]","[322.0, 321.0, 320.1, 319.3, 318.6, 318.0, 317.5, 317.2, 317.0, 316.9, 316.8, 316.7]","[6.95, 41.51, 41.16, 41.07, 41.06, 41.08, 7.16, 7.18]","[0.1, 0.1, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07]",6,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1]]"
"[325.0, 325.7, 325.1, 324.5]","[319.4, 319.7, 321.3, 323.0, 321.8, 320.8, 319.9, 319.1, 318.5, 317.9, 317.5, 317.2]","[41.51, 41.16, 41.07, 41.06, 41.08, 7.16, 7.18, 7.18]","[0.1, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07]",7,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[325.2, 325.4, 324.1, 319.9]","[321.4, 321.4, 321.0, 320.2, 319.4, 318.6, 317.8, 316.6, 315.0, 313.0, 311.3, 310.6]","[41.16, 41.07, 41.06, 41.08, 7.16, 7.18, 7.18, 7.16]","[0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07]",8,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[320.9, 317.9, 314.9, 312.3]","[321.4, 321.4, 321.0, 320.2, 319.4, 318.6, 317.8, 316.6, 315.0, 313.0, 311.3, 310.6]","[41.07, 41.06, 41.08, 7.16, 7.18, 7.18, 7.16, 41.2]","[0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07]",9,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
