T_B,T_S,prices,loads,iter,sequence
"[311, 311, 311, 311]","[311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311, 311]","[6.36, 6.34, 6.34, 6.37, 6.41, 6.46, 6.95, 41.51]","[0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.1, 0.1]",0,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[330.2, 328.6, 327.2, 326.1]","[311.0, 311.0, 311.0, 311.0, 311.0, 311.0, 311.0, 311.0, 311.0, 311.0, 311.0, 311.0]","[6.34, 6.34, 6.37, 6.41, 6.46, 6.95, 41.51, 41.16]","[0.11, 0.11, 0.11, 0.11, 0.11, 0.1, 0.1, 0.08]",1,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[326.3, 328.2, 329.1, 329.9]","[323.7, 321.7, 316.2, 312.6, 311.3, 311.0, 311.0, 311.0, 311.0, 311.0, 311.0, 311.0]","[6.34, 6.37, 6.41, 6.46, 6.95, 41.51, 41.16, 41.07]","[0.11, 0.11, 0.11, 0.11, 0.1, 0.1, 0.08, 0.08]",2,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[330.7, 332.7, 333.4, 334.3]","[323.5, 318.3, 316.9, 319.2, 321.8, 320.7, 317.0, 313.8, 312.0, 311.2, 311.0, 311.0]","[6.37, 6.41, 6.46, 6.95, 41.51, 41.16, 41.07, 41.06]","[0.11, 0.11, 0.11, 0.1, 0.1, 0.08, 0.08, 0.08]",3,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[327.0, 326.1, 326.1, 326.6]","[322.2, 319.2, 319.3, 320.8, 321.5, 321.8, 321.5, 320.6, 319.8, 319.5, 319.3, 318.7]","[6.41, 6.46, 6.95, 41.51, 41.16, 41.07, 41.06, 41.08]","[0.11, 0.11, 0.1, 0.1, 0.08, 0.08, 0.08, 0.08]",4,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[325.2, 325.1, 325.1, 325.1]","[325.1, 325.0, 324.8, 324.3, 323.5, 322.4, 321.4, 320.9, 320.8, 321.0, 321.0, 320.9]","[6.46, 6.95, 41.51, 41.16, 41.07, 41.06, 41.08, 7.16]","[0.11, 0.1, 0.1, 0.08, 0.08, 0.08, 0.08, 0.08]",5,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[325.6, 325.2, 324.8, 324.6]","[325.5, 325.0, 324.6, 324.4, 324.3, 324.5, 324.6, 324.7, 324.6, 324.4, 323.9, 323.2]","[6.95, 41.51, 41.16, 41.07, 41.06, 41.08, 7.16, 7.18]","[0.1, 0.1, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07]",6,"[[1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[328.3, 328.0, 327.8, 327.5]","[328.0, 327.5, 327.0, 326.4, 325.9, 325.4, 325.0, 324.7, 324.6, 324.5, 324.5, 324.5]","[41.51, 41.16, 41.07, 41.06, 41.08, 7.16, 7.18, 7.18]","[0.1, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07]",7,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[327.8, 326.9, 324.6, 320.2]","[326.9, 326.4, 325.8, 325.4, 325.0, 324.8, 324.5, 324.1, 323.3, 321.6, 319.3, 317.2]","[41.16, 41.07, 41.06, 41.08, 7.16, 7.18, 7.18, 7.16]","[0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07]",8,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[326.3, 324.1, 320.8, 317.3]","[326.1, 325.6, 325.2, 324.9, 324.5, 324.0, 323.2, 322.0, 320.3, 318.4, 316.9, 315.8]","[41.07, 41.06, 41.08, 7.16, 7.18, 7.18, 7.16, 41.2]","[0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07]",9,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]"
