T_B,T_S,prices,iter,sequence
"[314.0, 314.6, 313.7, 308.8]","[308.8, 307.5, 306.7, 306.1, 305.8, 305.6, 305.4, 304.9, 304.0, 302.7, 301.3, 300.3]","[14.64, 14.64, 18.93, 18.93]",180,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[316.3, 315.1, 313.8, 313.0]","[308.8, 307.5, 306.7, 306.1, 305.8, 305.6, 305.4, 304.9, 304.0, 302.7, 301.3, 300.3]","[14.64, 18.93, 18.93, 45.56]",195,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[317.1, 315.7, 314.4, 313.9]","[308.8, 307.5, 306.7, 306.1, 305.8, 305.6, 305.4, 304.9, 304.0, 302.7, 301.3, 300.3]","[18.93, 18.93, 45.56, 45.56]",210,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[320.2, 319.7, 319.1, 318.3]","[309.4, 307.6, 306.7, 306.1, 305.8, 305.6, 305.4, 304.9, 304.0, 302.8, 301.4, 300.3]","[18.93, 45.56, 45.56, 26.42]",225,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[317.3, 317.6, 317.9, 318.2]","[309.9, 307.7, 306.8, 306.2, 305.8, 305.6, 305.4, 304.9, 304.1, 302.8, 301.5, 300.4]","[45.56, 45.56, 26.42, 26.42]",240,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[318.4, 316.4, 316.2, 316.7]","[311.0, 308.2, 307.0, 306.3, 305.9, 305.7, 305.4, 305.0, 304.2, 303.0, 301.7, 300.6]","[45.56, 26.42, 26.42, 18.0]",255,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [0, 0, 0]]"
"[315.3, 315.5, 315.8, 316.1]","[311.0, 308.2, 307.0, 306.3, 305.9, 305.7, 305.4, 305.0, 304.2, 303.0, 301.7, 300.6]","[26.42, 26.42, 18.0, 18.0]",270,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[318.7, 316.8, 316.0, 316.2]","[311.0, 308.2, 307.0, 306.3, 305.9, 305.7, 305.4, 305.0, 304.2, 303.0, 301.7, 300.6]","[26.42, 18.0, 18.0, 17.17]",285,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[318.7, 316.9, 316.1, 316.2]","[311.0, 308.2, 307.0, 306.3, 305.9, 305.7, 305.4, 305.0, 304.2, 303.0, 301.7, 300.6]","[18.0, 18.0, 17.17, 17.17]",300,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[318.8, 317.0, 316.1, 316.1]","[311.0, 308.2, 307.0, 306.3, 305.9, 305.7, 305.4, 305.0, 304.2, 303.0, 301.7, 300.6]","[18.0, 17.17, 17.17, 16.19]",315,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
