T_B,T_S,prices,iter,sequence
"[314.0, 314.6, 313.7, 308.8]","[308.8, 307.5, 306.7, 306.1, 305.8, 305.6, 305.4, 304.9, 304.0, 302.7, 301.3, 300.3]","[14.64, 14.64, 18.93, 18.93]",0,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [1, 1, 1]]"
"[317.2, 316.7, 316.1, 315.4]","[310.3, 307.8, 306.9, 306.2, 305.9, 305.6, 305.4, 305.0, 304.2, 302.9, 301.6, 300.5]","[14.64, 18.93, 18.93, 45.56]",15,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [0, 0, 0]]"
"[322.2, 321.3, 320.4, 319.4]","[310.3, 307.8, 306.9, 306.2, 305.9, 305.6, 305.4, 305.0, 304.2, 302.9, 301.6, 300.5]","[18.93, 18.93, 45.56, 45.56]",30,"[[1, 1, 1], [1, 1, 1], [0, 1, 0], [0, 0, 0]]"
"[314.4, 317.8, 319.6, 320.4]","[313.2, 313.1, 310.9, 308.6, 307.2, 306.4, 305.9, 305.6, 305.2, 304.6, 303.6, 302.5]","[18.93, 45.56, 45.56, 26.42]",45,"[[1, 1, 1], [0, 1, 0], [0, 0, 0], [1, 1, 1]]"
"[316.9, 313.6, 313.5, 315.4]","[311.2, 311.8, 312.2, 311.8, 310.6, 309.1, 307.7, 306.7, 306.1, 305.6, 305.1, 304.4]","[45.56, 45.56, 26.42, 26.42]",60,"[[0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1]]"
"[316.9, 313.6, 313.5, 315.4]","[310.9, 310.1, 309.0, 307.8, 306.9, 306.0, 305.2, 304.3, 303.1, 301.9, 301.0, 300.4]","[45.56, 26.42, 26.42, 18.0]",75,"[[0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[315.3, 313.5, 312.4, 308.0]","[308.4, 307.4, 306.4, 305.5, 304.6, 303.6, 302.6, 301.6, 300.9, 300.4, 300.0, 299.9]","[26.42, 26.42, 18.0, 18.0]",90,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[311.4, 311.7, 311.9, 312.1]","[308.4, 307.4, 306.4, 305.5, 304.6, 303.6, 302.6, 301.6, 300.9, 300.4, 300.0, 299.9]","[26.42, 18.0, 18.0, 17.17]",105,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[311.0, 311.0, 311.0, 311.1]","[308.4, 307.4, 306.4, 305.5, 304.6, 303.6, 302.6, 301.6, 300.9, 300.4, 300.0, 299.9]","[18.0, 18.0, 17.17, 17.17]",120,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [1, 1, 1]]"
"[316.9, 316.0, 315.1, 314.2]","[308.4, 307.4, 306.4, 305.5, 304.6, 303.6, 302.6, 301.6, 300.9, 300.4, 300.0, 299.9]","[18.0, 17.17, 17.17, 16.19]",135,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [1, 1, 1]]"
"[320.3, 318.8, 317.6, 317.3]","[308.4, 307.4, 306.4, 305.5, 304.6, 303.6, 302.6, 301.6, 300.9, 300.4, 300.0, 299.9]","[17.17, 17.17, 16.19, 16.19]",150,"[[0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[317.6, 314.8, 311.0, 308.0]","[306.7, 305.8, 304.8, 303.9, 302.9, 302.0, 301.2, 300.6, 300.2, 300.0, 299.9, 299.9]","[17.17, 16.19, 16.19, 30.74]",165,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [0, 0, 0]]"
"[314.3, 313.0, 313.2, 313.5]","[306.7, 305.8, 304.8, 303.9, 302.9, 302.0, 301.2, 300.6, 300.2, 300.0, 299.9, 299.9]","[16.19, 16.19, 30.74, 30.74]",180,"[[1, 1, 1], [1, 1, 1], [0, 0, 0], [1, 1, 1]]"
"[318.8, 317.7, 317.2, 316.6]","[306.7, 305.8, 304.8, 303.9, 302.9, 302.0, 301.2, 300.6, 300.2, 300.0, 299.9, 299.9]","[16.19, 30.74, 30.74, 31.17]",195,"[[1, 1, 1], [0, 0, 0], [1, 1, 1], [1, 1, 1]]"
"[320.9, 318.9, 318.4, 318.7]","[308.1, 305.9, 304.9, 304.0, 303.0, 302.1, 301.3, 300.7, 300.3, 300.0, 299.9, 299.9]","[30.74, 30.74, 31.17, 31.17]",210,"[[0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[318.3, 315.5, 311.4, 308.0]","[305.4, 304.2, 303.3, 302.4, 301.6, 301.0, 300.5, 300.2, 300.0, 299.9, 299.9, 299.9]","[30.74, 31.17, 31.17, 16.18]",225,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[312.5, 312.7, 312.9, 313.1]","[305.4, 304.2, 303.3, 302.4, 301.6, 301.0, 300.5, 300.2, 300.0, 299.9, 299.9, 299.9]","[31.17, 31.17, 16.18, 16.18]",240,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[311.2, 311.4, 311.7, 311.9]","[305.4, 304.2, 303.3, 302.4, 301.6, 301.0, 300.5, 300.2, 300.0, 299.9, 299.9, 299.9]","[31.17, 16.18, 16.18, 17.11]",255,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
"[311.0, 311.0, 311.0, 311.1]","[305.4, 304.2, 303.3, 302.4, 301.6, 301.0, 300.5, 300.2, 300.0, 299.9, 299.9, 299.9]","[16.18, 16.18, 17.11, 17.11]",270,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]"
