,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-08-16 20:00:00,0.0,0.0,0.0,7.2829356,96625.164,0.0,21.33371,1.3432827,-0.5062294,3.4427357,6.881426,0.0,0.0,0.0
2021-08-16 21:00:00,0.0,0.0,0.0,7.351794,96631.484,0.0,19.833466,1.3580637,-0.83646774,3.2896547,6.860077,0.0,0.0,0.0
2021-08-16 22:00:00,0.0,0.0,0.0,6.0907125,96646.61,0.0,18.823578,1.9304762,0.120204926,3.073619,6.029154,0.0,0.0,0.0
2021-08-16 23:00:00,0.0,0.0,0.0,5.6103787,96612.39,0.0,17.787292,2.3274488,1.4326305,2.6915474,5.222269,0.0,0.0,0.0
2021-08-17 00:00:00,0.0,0.0,0.0,5.1646533,96650.55,0.0,16.791473,2.93355,2.4387608,2.225542,4.4241695,0.0,0.0,0.0
2021-08-17 01:00:00,0.0,0.0,0.0,5.9507394,96646.59,0.0,16.006256,4.092552,3.9196434,1.979044,3.8388958,0.0,0.0,0.0
2021-08-17 02:00:00,0.0,0.0,0.0,7.1656156,96662.14,0.0,15.225891,5.3866367,5.4761944,2.2468243,3.872408,0.0,0.0,0.0
2021-08-17 03:00:00,0.0,0.0,0.0,7.1980047,96676.39,0.0,14.64621,5.3071575,5.512678,2.0757008,3.9372292,0.0,0.0,0.0
2021-08-17 04:00:00,2.0,2.0,0.0,7.3589163,96686.63,0.0,13.980103,5.2978764,5.6848907,2.3321648,3.9870071,0.0,0.0,0.0
2021-08-17 05:00:00,1.0,1.0,0.0,6.9529247,96695.45,0.0,13.94516,4.717252,4.9688187,2.572116,4.537134,0.0,0.0,0.0
2021-08-17 06:00:00,1.0,1.0,0.0,6.9672275,96708.984,0.0,13.96228,4.801857,4.9698467,2.640335,4.5230637,0.0,0.0,0.0
2021-08-17 07:00:00,1.0,1.0,0.0,6.7872024,96732.875,0.0,14.208282,4.6490498,5.0842743,2.2025423,4.046995,32.825580279774776,13.513045720526245,31.516949455050913
2021-08-17 08:00:00,0.0,0.0,0.0,6.3192883,96763.28,0.0,15.733429,4.8101826,4.7073956,2.5344563,3.8422184,219.57578339558165,474.53034075213577,78.74499909613334
2021-08-17 09:00:00,0.0,0.0,0.0,5.528392,96761.21,0.0,17.645233,3.994398,4.0164204,2.1663055,3.0871887,426.51683618225013,680.0282970632699,95.97285340097227
2021-08-17 10:00:00,0.0,0.0,0.0,4.691301,96774.586,0.0,20.280304,3.4593983,3.572813,2.3346806,2.8332996,613.0352957175435,742.8454364309866,128.84162024777396
2021-08-17 11:00:00,0.0,0.0,0.0,5.1932063,96794.7,0.0,22.275818,3.8393097,4.1778297,2.4212074,2.9882221,761.7534640657321,753.5583212542726,171.962929721955
2021-08-17 12:00:00,0.0,0.0,0.0,6.3171115,96835.61,0.0,22.97998,4.5793686,5.1103554,3.0531216,3.5743217,861.094433129716,747.8804384119223,210.63922695599842
