,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-06-10 10:00:00,2.0,2.0,0.0,3.8501134,98105.52,0.0,13.344971,-0.54831123,-1.047245,2.9649248,3.0894527,696.6839119536479,727.0857221261723,162.62274803888965
2021-06-10 11:00:00,1.0,1.0,0.0,4.3943496,98103.99,0.0,14.026764,0.2429657,0.2346096,3.962761,4.3935585,837.5302919374551,737.4902361632721,206.62894586245045
2021-06-10 12:00:00,1.0,1.0,0.0,5.156647,98077.88,0.0,13.882751,1.3882065,1.5310173,4.123558,4.316223,926.8278929764879,724.8544880612272,249.43875948067716
2021-06-10 13:00:00,0.0,0.0,0.0,5.3300147,98119.15,0.0,14.522278,1.2809935,1.5422783,4.180209,4.5376453,969.0501785554151,737.2259181408915,256.6830868425245
2021-06-10 14:00:00,0.0,0.0,0.0,5.261051,98120.71,0.0,14.879761,1.5995045,1.9354267,4.4654293,4.7403154,948.9205072315397,740.8787324005439,246.12288316062518
2021-06-10 15:00:00,0.0,0.0,0.0,6.040661,98063.516,0.0,14.58432,1.910326,2.4551144,4.732115,5.5301914,873.935866183549,751.7822463429824,210.34912019880596
2021-06-10 16:00:00,1.0,1.0,0.0,7.8977013,97989.02,0.0,13.673706,1.8634586,2.2940884,5.967575,7.211109,744.5945709598697,743.1955406307387,170.0820073437643
2021-06-10 17:00:00,1.0,1.0,0.0,9.197945,97961.39,0.0,13.304718,1.2019882,1.4460487,6.509142,8.459942,580.7493279348164,730.2579248273491,122.79607925381424
2021-06-10 18:00:00,1.0,1.0,0.0,8.345729,97903.59,0.0,13.44339,-0.13880539,-0.494524,6.1552315,7.768156,389.63713810254177,654.5231960417948,91.91092977403264
2021-06-10 19:00:00,2.0,2.0,0.0,8.412195,97865.11,0.0,13.398468,-2.551056,-3.9030151,5.16905,6.730221,188.06411019197793,423.1956243807771,74.62310999715065
2021-06-10 20:00:00,1.0,1.0,0.0,8.543184,97860.42,0.0,11.655701,-2.7275295,-4.027218,4.498394,6.1031,22.678646655100202,0.0,22.678646655100202
2021-06-10 21:00:00,0.0,0.0,0.0,7.813795,97823.06,0.0,10.397339,-1.3929825,-2.5957298,3.5789719,5.7660503,0.0,0.0,0.0
2021-06-10 22:00:00,0.0,0.0,0.0,7.40845,97826.516,0.0,9.706512,-0.8646202,-2.5121613,3.7646923,6.5229473,0.0,0.0,0.0
2021-06-10 23:00:00,0.0,4.0,4.0,6.778851,97811.95,0.0,9.155701,-0.45090675,-2.5023289,3.3510685,6.1500416,0.0,0.0,0.0
2021-06-11 00:00:00,0.0,1.0,1.0,3.9661105,97790.01,0.0,8.605194,0.74305534,-1.3596153,2.5413303,5.099518,0.0,0.0,0.0
2021-06-11 01:00:00,0.0,5.0,5.0,4.4153733,97744.484,0.0,7.764984,1.7417955,0.4291973,1.8527708,4.251766,0.0,0.0,0.0
2021-06-11 02:00:00,0.0,6.0,6.0,4.4255147,97772.11,0.0,7.4522705,1.7405787,0.37545776,1.8050861,4.301447,0.0,0.0,0.0
