,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-06-19 21:00:00,1.0,1.0,0.0,9.107845,96631.86,0.0,16.849121,3.446041,5.8876247,4.690156,6.82773,0.0,0.0,0.0
2021-06-19 22:00:00,0.0,0.0,0.0,8.637363,96583.34,0.0,16.808075,3.6203747,5.8261566,4.281852,6.2417316,0.0,0.0,0.0
2021-06-19 23:00:00,1.0,1.0,0.0,8.560005,96665.58,0.0,15.8281555,3.74794,5.9611187,4.300871,6.0466385,0.0,0.0,0.0
2021-06-20 00:00:00,1.0,1.0,0.0,8.049293,96655.695,0.0,14.849945,3.5599957,5.479744,4.0826855,5.7720222,0.0,0.0,0.0
2021-06-20 01:00:00,4.0,4.0,0.0,7.980255,96617.96,0.0,13.505646,2.429903,4.073168,5.040908,6.864109,0.0,0.0,0.0
2021-06-20 02:00:00,15.0,15.0,0.0,8.1297655,96594.89,0.0,12.628815,1.8837795,3.3367271,5.438587,7.422661,0.0,0.0,0.0
2021-06-20 03:00:00,24.0,24.0,0.0,8.046412,96614.234,0.0,12.25473,1.572422,2.9665165,5.179779,7.4639206,0.0,0.0,0.0
2021-06-20 04:00:00,25.0,25.0,0.0,8.178916,96627.58,0.0,11.902069,1.760004,2.8827095,5.4167576,7.6150208,0.0,0.0,0.0
2021-06-20 05:00:00,30.0,30.0,0.0,7.879733,96651.92,0.0,11.339355,1.5606556,2.8092709,4.973359,7.3263702,0.0,0.0,0.0
2021-06-20 06:00:00,31.0,31.0,0.0,7.992017,96695.125,0.0,11.138733,1.6409264,2.969225,5.0216417,7.385481,1.718921637713618,0.0,1.718921637713618
2021-06-20 07:00:00,26.0,26.0,0.0,8.076112,96721.2,0.0,12.139008,2.0395546,3.30661,4.8942585,6.993271,109.51954881505706,168.01964490127438,74.15079650495568
2021-06-20 08:00:00,25.0,25.0,0.0,8.019145,96793.21,0.0,13.309357,2.0538158,3.206089,5.161994,6.8615627,276.1391415187222,345.06823036961873,138.5046055078967
2021-06-20 09:00:00,26.0,26.0,0.0,7.0137763,96843.51,0.0,14.088898,1.4069405,2.3174706,4.886544,6.066345,437.6887956726119,384.05324146783494,216.21181187919532
2021-06-20 10:00:00,25.0,25.0,0.0,7.2556334,96879.64,0.0,15.256195,1.4563332,2.354042,4.877672,5.8337936,587.2828784208906,403.87675440489176,291.70479080126904
2021-06-20 11:00:00,13.0,13.0,0.0,7.3067255,96883.34,0.0,16.560547,1.7850437,2.7582264,4.95138,6.048094,768.3239550954654,543.766722624127,304.0575242628704
2021-06-20 12:00:00,15.0,15.0,0.0,7.869069,96884.484,0.0,16.639465,2.0129833,2.8367329,5.8589706,6.9957714,839.7747392320981,497.59354409941983,374.9184518397441
2021-06-20 13:00:00,9.0,9.0,0.0,8.60102,96901.88,0.0,17.053589,2.201559,3.2595654,6.068445,7.4571495,911.7938421267771,565.2937709978064,364.8107759817907
