,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-07-26 11:00:00,26.0,100.0,26.0,7.377608,97122.85,100.0,13.601807,2.0000315,3.0626507,4.321084,5.69281,279.9947376069243,15.347879983308568,267.3922860195016
2021-07-26 12:00:00,14.0,90.0,0.0,8.257481,97060.67,90.0,14.828583,2.2656555,3.6241074,5.263912,6.7099295,372.6800712509329,26.73540022916681,348.4173823403708
2021-07-26 13:00:00,7.0,76.0,0.0,9.207645,97100.36,76.0,16.805328,2.9683056,4.1159115,5.8007507,6.9162426,476.4523526347792,53.439874751178294,425.9058206234739
2021-07-26 14:00:00,4.0,21.0,0.0,9.647309,97148.63,21.0,17.662415,2.5291977,3.663906,6.835867,8.080381,800.9774347028266,446.9368691948409,383.7471479175035
2021-07-26 15:00:00,5.0,6.0,0.0,10.520586,97146.32,3.0,17.05655,2.660555,4.1022663,7.2943344,8.985767,823.554467256251,634.8071732611824,270.40609268651144
2021-07-26 16:00:00,7.0,7.0,0.0,11.338347,97126.2,1.0,16.422363,2.8702126,4.47707,7.223852,9.164799,701.3896788878953,635.7022727193402,215.98148681164378
2021-07-26 17:00:00,9.0,9.0,0.0,11.220169,97112.23,0.0,15.86676,2.6032085,4.1107807,6.9216785,8.985256,536.897652810135,607.0001997277848,162.06973721740547
2021-07-26 18:00:00,10.0,10.0,0.0,10.338941,97094.266,0.0,15.186371,2.6554546,4.008133,6.3339996,8.505283,351.5783762127599,509.5599033302991,125.79120877451848
2021-07-26 19:00:00,9.0,9.0,0.0,10.463246,97091.5,0.0,14.448151,2.6693687,4.1345825,6.4009857,8.800247,161.68994173441382,326.28895509658446,79.38805680876081
2021-07-26 20:00:00,9.0,9.0,0.0,11.304711,97103.0,0.0,13.438965,3.0849228,4.835041,6.690506,9.405924,10.711383609501484,0.0,10.711383609501484
2021-07-26 21:00:00,25.0,25.0,0.0,11.26151,97148.625,0.0,12.937714,3.4427414,5.3373356,5.786558,8.613064,0.0,0.0,0.0
2021-07-26 22:00:00,26.0,26.0,0.0,11.071216,97180.42,5.0,12.590454,3.1731682,5.0005627,5.9767647,8.844929,0.0,0.0,0.0
2021-07-26 23:00:00,26.0,100.0,0.0,10.580008,97224.016,100.0,12.4071045,3.1302834,5.035427,5.4594593,8.0722885,0.0,0.0,0.0
2021-07-27 00:00:00,27.0,90.0,0.0,8.50175,97269.016,84.0,12.760376,2.7407284,4.198429,4.4352016,6.184969,0.0,0.0,0.0
2021-07-27 01:00:00,20.0,100.0,100.0,6.539991,97272.14,100.0,13.126038,1.6974945,2.955738,4.1181726,5.748352,0.0,0.0,0.0
2021-07-27 02:00:00,8.0,100.0,100.0,5.908803,97218.9,100.0,13.35611,1.1593971,2.2326317,3.7216282,5.4008884,0.0,0.0,0.0
2021-07-27 03:00:00,1.0,100.0,100.0,6.3289814,97194.76,100.0,15.03598,1.7716274,3.1600666,4.0253067,5.423666,0.0,0.0,0.0
