,timestamp,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure,1004578059,1006706934,1006715799,1006716429,1006727093,1006727361,1008913626,1009074083,1009511425,1009540871,1009984043,1009984060,1010054507,1010086328,1010249061,1010282897,1010397607,1010409824,1010410390,datetime,dst
0,1577779200,Clear,clear-night,0.0,0.0,8.84,7.42,3.32,0.68,2.54,353,16.093,0.0,1020.0,,,,,,,,,,,,,,,,,,,,,
1,1577782800,Clear,clear-night,0.0,0.0,8.6,6.9,3.2,0.69,2.89,3,16.093,0.01,1019.9,,,,,,,,,,,,,,,,,,,,,
2,1577786400,Clear,clear-night,0.0,0.0,8.53,6.75,2.89,0.68,2.99,11,16.093,0.01,1020.4,,,,,,,,,,,,,,,,,,,,,
3,1577790000,Clear,clear-night,0.0,0.0,8.67,7.16,2.56,0.65,2.62,16,16.093,0.0,1020.6,,,,,,,,,,,,,,,,,,,,,
4,1577793600,Clear,clear-night,0.0,0.0,8.58,7.03,2.19,0.64,2.67,20,16.093,0.0,1020.4,,,,,,,,,,,,,,,,,,,,,
5,1577797200,Clear,clear-night,0.0,0.0,8.48,7.04,2.09,0.64,2.47,1,16.093,0.0,1020.5,,,,,,,,,,,,,,,,,,,,,
6,1577800800,Clear,clear-night,0.0,0.0,8.28,6.57,1.5,0.62,2.81,19,16.093,0.01,1020.7,,,,,,,,,,,,,,,,,,,,,
7,1577804400,Clear,clear-night,0.0,0.0,7.86,6.11,1.68,0.65,2.74,13,16.093,0.04,1021.1,,,,,,,,,,,,,,,,,,,,,
8,1577808000,Clear,clear-day,0.0,0.0,7.39,5.9,1.72,0.67,2.29,14,16.093,0.07,1021.5,,,,,,,,,,,,,,,,,,,,,
9,1577811600,Clear,clear-day,0.0067,0.03,9.65,8.39,2.25,0.6,2.52,17,16.093,0.09,1021.6,,,,,,,,,,,,,,,,,,,,,
10,1577815200,Clear,clear-day,0.0,0.0,12.04,12.04,3.11,0.54,2.49,19,16.093,0.09,1021.8,,,,,,,,,,,,,,,,,,,,,
11,1577818800,Clear,clear-day,0.0,0.0,13.5,13.5,2.87,0.49,3.02,355,16.093,0.11,1021.5,,,,,,,,,,,,,,,,,,,,,
12,1577822400,Clear,clear-day,0.0,0.0,14.7,14.7,2.53,0.44,3.02,356,16.093,0.11,1020.8,,,,,,,,,,,,,,,,,,,,,
13,1577826000,Clear,clear-day,0.0,0.0,15.29,15.29,2.91,0.43,2.72,339,16.093,0.13,1020.6,,,,,,,,,,,,,,,,,,,,,
14,1577829600,Clear,clear-day,0.0,0.0,15.83,15.83,2.98,0.42,2.05,331,16.093,0.15,1020.3,,,,,,,,,,,,,,,,,,,,,
15,1577833200,Clear,clear-day,0.0,0.0,15.82,15.82,3.46,0.44,1.74,17,16.093,0.09,1020.0,,,,,,,,,,,,,,,,,,,,,
16,1577836800,Clear,clear-day,0.0,0.0,15.57,15.57,3.52,0.45,1.5,85,16.093,0.11,1019.7,,,,,,,,,,,,,,,,,,,,,
17,1577840400,Clear,clear-night,0.0,0.0,14.28,14.28,3.89,0.5,1.39,267,16.093,0.12,1019.7,,,,,,,,,,,,,,,,,,,,,
18,1577844000,Clear,clear-night,0.0,0.0,11.99,11.99,3.17,0.55,1.47,297,16.093,0.1,1020.2,,,,,,,,,,,,,,,,,,,,,
19,1577847600,Clear,clear-night,0.0,0.0,10.9,10.9,3.07,0.58,1.66,322,16.093,0.1,1019.9,,,,,,,,,,,,,,,,,,,,,
20,1577851200,Clear,clear-night,0.0,0.0,10.46,10.46,3.1,0.6,1.56,296,16.093,0.07,1020.5,,,,,,,,,,,,,,,,,,,,,
21,1577854800,Clear,clear-night,0.0,0.0,10.22,10.22,2.71,0.6,1.77,277,16.093,0.1,1020.7,,,,,,,,,,,,,,,,,,,,,
22,1577858400,Clear,clear-night,0.0,0.0,9.95,9.52,3.17,0.63,1.57,291,16.037,0.09,1021.6,,,,,,,,,,,,,,,,,,,,,
23,1577862000,Clear,clear-night,0.0,0.0,9.4,8.75,2.43,0.62,1.72,109,16.093,0.07,1020.9,,,,,,,,,,,,,,,,,,,,,
24,1577865600,Clear,clear-night,0.0,0.0,9.1,8.49,2.43,0.63,1.63,276,16.093,0.05,1020.3,,,,,,,,,,,,,,,,,,,,,
25,1577869200,Clear,clear-night,0.0,0.0,8.88,8.13,3.46,0.69,1.74,283,15.693,0.15,1021.7,550.8,19.84,1.6,12.8,45.44,4.16,0.76,0.1624,29.44,7.2,5.172,26.376,12.16,78.72,67.2,28.8,0.026,16.0,,2020-01-01 01:00,N
26,1577872800,Clear,clear-night,0.0,0.0,8.3,7.66,3.02,0.69,1.54,307,15.549000000000001,0.03,1021.5,549.6,19.52,1.6,12.8,43.52,4.48,0.756,0.1464,28.16,6.72,5.62,24.8,10.56,77.76,45.6,29.12,0.026,10.88,,2020-01-01 02:00,N
