,low_clouds,total_clouds,high_clouds,wind_speed_gust,pressure,mid_clouds,temp_air,v-component_of_wind_height_above_ground_0,v-component_of_wind_height_above_ground_1,u-component_of_wind_height_above_ground_0,u-component_of_wind_height_above_ground_1,ghi,dni,dhi
2021-10-21 01:00:00,100.0,100.0,0.0,10.477868,97559.055,66.0,14.546692,6.505746,10.317466,0.40545273,0.721735,0.0,0.0,0.0
2021-10-21 02:00:00,99.0,99.0,0.0,8.875075,97572.41,89.0,14.386536,5.4489155,8.5828285,1.0616446,1.7945824,0.0,0.0,0.0
2021-10-21 03:00:00,100.0,100.0,0.0,8.563061,97592.41,100.0,14.334778,5.2863817,8.357135,0.6913271,1.2782955,0.0,0.0,0.0
2021-10-21 04:00:00,100.0,100.0,0.0,8.290242,97642.09,82.0,14.143463,5.262246,8.125412,0.67694473,1.3005695,0.0,0.0,0.0
2021-10-21 05:00:00,100.0,100.0,0.0,7.790992,97642.266,89.0,14.1753845,4.9115334,7.5991993,0.72564316,1.1363182,0.0,0.0,0.0
2021-10-21 06:00:00,100.0,100.0,0.0,8.155713,97648.39,39.0,14.250671,4.49321,6.974474,0.32569218,0.79346085,0.0,0.0,0.0
2021-10-21 07:00:00,100.0,100.0,0.0,8.741047,97664.89,3.0,14.532745,4.861027,7.565872,0.33655357,0.7279339,0.0,0.0,0.0
2021-10-21 08:00:00,100.0,100.0,0.0,8.729484,97673.61,90.0,14.627838,5.4521236,8.583496,0.414896,0.7973385,16.080462226081384,0.0,16.080462226081384
2021-10-21 09:00:00,84.0,84.0,0.0,9.456641,97642.01,19.0,15.317078,5.7232437,8.336315,0.7904339,1.396513,105.1002401900099,7.895463494058466,102.812508366474
2021-10-21 10:00:00,76.0,76.0,0.0,10.188517,97682.88,4.0,15.322144,5.455221,7.8877945,1.0054302,1.7548618,207.42358454221787,55.00716553970874,182.85916450697485
2021-10-21 11:00:00,47.0,47.0,0.0,9.883522,97715.914,2.0,16.108917,5.801138,7.8625984,1.2380028,1.6495953,380.494524891332,226.1396960320673,252.7299962301028
2021-10-21 12:00:00,79.0,100.0,0.0,10.27536,97716.18,100.0,16.068848,4.8236465,6.5809555,1.9770393,2.5917435,221.3098296506693,11.189743762271043,214.1829426843466
2021-10-21 13:00:00,94.0,94.0,0.0,10.44174,97673.016,35.0,16.175385,4.789654,6.2827225,2.6690826,3.5484676,255.37507148687033,19.699563699041743,242.42352088431957
2021-10-21 14:00:00,97.0,97.0,0.0,10.824586,97688.21,0.0,15.769318,4.887371,6.75935,3.2997494,4.276657,228.54965600879513,14.34170254275315,219.58324472339189
2021-10-21 15:00:00,93.0,93.0,0.0,10.398239,97677.5,3.0,15.907837,5.0567837,7.0765343,4.0040665,5.482479,206.20372083227565,16.675518354315216,197.15990911061976
2021-10-21 16:00:00,100.0,100.0,0.0,10.825076,97660.086,5.0,15.5047,4.7188816,6.7630043,4.6092587,6.2255974,130.52988201123256,0.0,130.52988201123256
2021-10-21 17:00:00,84.0,84.0,0.0,12.543238,97633.95,3.0,15.055634,5.3049707,7.4713764,4.923893,6.736553,85.58470562322557,0.0,85.58470562322557
